text,predicted_sentiment
"Space weather, originating on the sun, are changes in the space environment;sometimes violent and dramatic changes.",negative
"DENITRIFICATION RATE: The rate of biochemical reduction of nitrate or nitrite to gaseous nitrogen, either as molecular nitrogen or as an oxide of nitrogen.",negative
"LAND TENURE: The holding, particularly as to manner or term (i.e., period of time), of a property. Land tenure may be broadly categorized into private lands, federal lands, and state lands.",negative
"ATMOSPHERIC ELECTRICITY: Electrical phenomena, regarded collectively, which occur in theEarth's atmosphere.",negative
"CLOUD TOP HEIGHT: For a given cloud or cloud layer, the highest level in the atmosphere at which the air contains a perceptible quantity of cloud particles.",positive
"MICROFOSSILS: Microfossils are fossils too small to be seen without the aid of a microscope,e.g., a foraminifer or ostracode. It may be the remains of microscopicorganisms or a part of a larger orgnaism.",positive
SEA LEVEL RISE: An increase in the average height of the sea surface over a vertical datum.,positive
PLANTS: Pertaining to the scientific classification of plants.,negative
"WEB IMAGE CLASSIFICATION SERVICE: Performs classification of digital images, using a client-selected supervised orunsupervised image classification method.",negative
"SOLAR ACTIVE REGIONS: A region of the solar atmosphere from the photosphere to the corona thatdevelops when strong magnetic fields emerge from inside the sun. The magnetizedrealm in and around the sunspots is called an active region. Radiation fromactive regions is enhanced when compared to neighboring areas in thechromosphere a corona over the whole electromagnetic spectrum. They may lastfrom a few hours to a few months. They are the sites of intense explosions,called solar flares.",positive
"SEDIMENTS: Unconsolidated particles created by the weathering and erosion of rock, by chemical precipitation from solution in water, or from the secretions of organisms, and transported by water, wind, or glaciers.",positive
WAVE EROSION: The power of the wave is generated by the fetch. Waves erode cliffs by abrasion/corrasion and hydraulic pressure.,positive
"DISCHARGE: The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.",negative
REGRESSION: A machine learning model that translates input data of N-dimension to one or more scalar values.,negative
"GLACIERS/ICE SHEETS: Glaciers are masses of land ice, formed by the further recrystallization of",negative
"firn, flowing continuously from higher to lower elevations. Ice sheets are a",negative
continuous sheet of land ice that covers a very large area and moves outward inmany directions. This type of ice mass is so thick as to mask the land surface,positive
"contours, in contrast to the smaller and thinner highland ice. The continental",positive
glacier of Greenland is sometimes called the Inland Ice. This term is often,positive
used to describe the great ice masses that characterized the ice ages.,positive
"STORM SURGE: A phenomena wherein sea level rises above the normal tide level whenhurricanes or tropical storms move from the ocean along or across acoastal region. This sea level rise can consists of three components, thefirst of which results from low barometric pressure, i.e. the so-calledinverse barometer effect, where lower atmospheric pressure on the surfaceof the water allows it to rise. The second component is wind set-up wherethe winds drag surface",positive
"METHANE: Methane (CH4) is a greenhouse gas and is seen in polar ice cores. From the ice core record, it is known that methane rose rapidly whenever climate changed from glacial to interglacial conditions (during 'deglaciation'). Warming of water bathing the seafloor could have led to large-scale release of methane from the melting of methane ice.",negative
"RIA: A landform, often referred to as a drowned river valley. Rias are almost always estuaries. Rias form where sea levels rise relative to the land either as a result of eustatic sea level change (where the global sea levels rise), or isostatic sea level change (where the local land sinks).",positive
COASTLINE: The actual contour of the continent with the existing ice shelves.,negative
"RAIN: A type of liquid precipitation in the form of liquid water drops withdiameters greater than 0.5 millimeters (0.02 inches), or, if widelyscattered, the drops may be smaller.",negative
LIQUID PRECIPITATION: Liquid precipitation that reaches the Earth's surface in the form of drops.,negative
WATERSHED SLOPE: The steepness of the highest point to the lower elevations.,negative
BREEDING PRODUCTIVITY: A measure of how successful reproduction is in a given breeding season. It can be used to assess the health of a population and can be an early indicator of environmental changes or population status.,negative
"DUNES: A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.",positive
HYDROCARBONS: Organic compounds composed entirely of carbon and hydrogen atoms.,negative
ICE CORE RECORDS: An ice core is a section of ice drilled from a glacier or ice sheet. Ice deposits contain samples of the atmosphere at the time the ice formed; they also record seasonal fluctuations of temperature and dust. That's why ice cores are extremely valuable sources of paleoclimate data on the Earth's climate in the distant past. Researchers drill sections of ice cores hundreds of meters long and then match sections at different depths with particular eras in the Earth's past. These sections can then be analyzed for clues about atmospheric gases and temperatures from hundreds of thousands of years ago.,negative
"ABYSSAL HILLS/PLAINS: Pertaining to geophysical (seismic, magnetic, gravity, etc.) data collected",positive
on the plains and hills of the deep oceanic floor.,positive
ABYSSAL HILLS: Small hills found only in the deep sea which rise from the oceanbasin floor with heights ranging from 10 to over 500 feet and widths from a fewhundred feet to a few miles. They are found along the seaward margin of most,positive
"abyssal plains and originate from the spreading of mid-ocean ridges. As such,",positive
they usually form two strips parallel to mid-ocean ridges. They generally,negative
decrease in height as one traverses away from the ridges as they gradually,positive
become covered with sediment and are replaced by abyssal plains.,negative
ABYSSAL PLAINS: Flat areas of the ocean basin floor which slope less than 1,negative
part in 1000. These were formed by turbidity currents which covered the,negative
preexisting topography. Most abyssal plains are located between the base of thecontinental rise and the abyssal hills. The remainder are trench abyssal plainsthat lie in the bottom of deep-sea trenches. This latter type traps all,positive
sediment from turbidity currents and prevents abyssal plains from forming,negative
"further seaward, e.g. much of the Pacific Ocean floor.",negative
GLACIER TOPOGRAPHY/ICE SHEET TOPOGRAPHY: Surface relief of the land. Topography usually is measured in meters above sea,negative
level. The topography can be very different from one location to another.,positive
"Topography can be flat, or mountainous, or hilly.",negative
"BEACHES: Geological landform along the shoreline of an ocean, sea or lake. It usually consists of loose particles which are often composed of rock, such as sand, gravel, shingle, pebbles, waves or cobblestones.",negative
"CLOUD OPTICAL DEPTH/THICKNESS: The degree to which a cloud prevents light from passing through it.Optical thickness depends upon the physical constitution (crystals, drop,droplets), the form, the concentration of particles, and the verticalextent of the cloud.",positive
CIVIL DISTURBANCE: Group acts of violence and disorder prejudicial to public law and order.,positive
"ISOTOPES: The isotopic record found in ice cores reveal direct information about the pastclimate. d18O (delta oxygen-18), 16O and 18O are isotopes of oxygen with slightdifferences in atomic weight. Depending on the temperature of evaporation andhow far the water has had to travel before it fell as snow, the ratio of 18O to16O will vary. This ratio, known as d18O, can be measured very accurately usinga mass spectrometer. Over short time scales the change in temperature fromsummer to winter produces a very clear oscillation in the 18O/16O ratio. Thisoscillation is used to determine the age of the core at different depths,simply by counting the oscillations. Over longer time periods, this ratioindicates the average temperature of the regions between the evaporation siteand the coring site. Investigators in Greenland and Antarctica are alsoanalyzing for the ratio of 1H/2H (Hydrogen to deuterium) which will allow evenfiner detail about source temperature and condensation history to be obtained.",negative
"ENVIRONMENTAL ADVISORIES: Refers to an official announcement, typically a warning about bad environmental conditions.",negative
"HYDROLOGICAL ADVISORIES: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from the cycling of water on and inside the Earth.",negative
"CUSPATE FORELANDS: Geographical features found on coastlines and created by long shore drift. Made out of sand and shingle, and later stabilized by vegetation, cuspate forelands are triangular-shaped accretions and extend seawards.",positive
SQUIDS: Phylum Mollusca. Class Cephalopoda. Marine molluscs characterized by a condensed anteroposteriorly and extended dorso-ventrally body plan and a reduce shell with only a pen remaining,positive
SOLAR INDUCED FLUORESCENCE: Solar-induced fluorescence is the glow plants emit from photosynthesis — the process of plant growth that includes the capture of carbon from the atmosphere. Areas with lower photosynthesis activity are in shown in light green; areas with higher photosynthesis activity are shown in dark green.,positive
ISOTOPES: One of two or more species of atoms of a chemical element with the same atomic number and position in the periodic table and nearly identical chemical behavior but with different atomic masses and physical properties. Every chemical element has one or more isotopes.,negative
"PHOSPHATE: A charged molecule composed of one atom of phosphorus and four atoms ofoxygen, PO4(-3), available to plants and phytoplankton as a nutrient.",positive
GLACIER THICKNESS/ICE SHEET THICKNESS: The difference in height between two levels in the glacier or ice sheet.,positive
"GYMNOSPERMS: Gymnosperms are seed-producing plants, commonly refered to as 'naked seeds', where the ovules are not inclused in the ovary.",negative
ICE CORE AIR BUBBLES: Trapped gases in ice-core bubbles are highly reliable records of atmospheric composition in reconstructing past climates.,positive
CHAPARRAL: Pertaining to distinct shrubland unique to California.,positive
ANTICYCLONES/CYCLONES: An anticyclone is a dome of air that exerts relatively highatmospheric pressure compared with the surrounding air at a given level. Acyclone is a weather system characterised by relatively low surface airpressure at a given level and a closed cyclonic wind circulation.,positive
BENTHIC: Pertaining to ocean bottom as the place where an organism lives.,positive
"GLACIER/ICE CAVES: Refers to any type of natural cave (most commonly lava tubes or limestone caves) that contains significant amounts of perennial (year-round) ice. At least a portion of the cave must have a temperature below 0 °C (32 °F) all year round, and water must have traveled into the cave’s cold zone.",negative
FRONTAL FOG: Fog associated with frontal zones and frontal passages.It is usually divided into three types: warm-front prefrontal fog; cold-front post-frontal fog; and frontal-passage fog. The first two types are a result of rain falling into cold stable air and raising the dewpoint temperature. Frontal-passage fog can result from the 'mixing of warm and cold air masses in the frontal zone' or by 'sudden cooling of air over moist ground.',negative
"LAND RECORDS: Non-marine geological information pertinent to paleoclimatology consists of all continental sedimentary records including loess,volcanic deposits, glaciation, spelothems, tree ring, pollen, and other land-based records.",positive
WIND FARM: Pertaining to an area of land with a cluster of wind turbines for driving electrical generators.,negative
BIOSPHERIC INDICATORS: biosphere (the regions of the surface and atmosphere of the Earth (or other planet) where living organisms exist),positive
"SEDIMENT TRANSPORT: The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting.",positive
"MASS BALANCE: The definition of how the mass of an area changes over time; i.e. how balanced the mass is (e.g., whether processes that cause an increase mass, such as precipitation, are balanced with processes that cause mass loss, such as runoff and evaporation).",negative
"CRYOSOLS: Soil formed in either mineral or organic materials having permafrost eitherwithin 1 m below the surface or, if the soil is strongly cryoturbated, with 2 mbelow the surface, and having a mean annual ground temperature below 0 deg C.",negative
CYCLONES (SW INDIAN): null,negative
"IONS: Pertaining to the measurement of various electrostatic ally charged compounds found in ice cores. Ions can be analyzed to infer human, biological, and volcanic activity, as well as ocean water conditions.",negative
STABILITY: The ability of a mineral to remain unaltered over a stated range of pressure and temperature.,negative
"CRYOSPHERE MODELS: Cryosphere Models are models that look at the Earth's cryosphere regions, specifically looking at frozen water, snow, permafrost, floating ice, and glaciers. The cryosphere component is directly related to ocean sea-level, therefore is indirectly related to changes in the atmosphere and biosphere.",negative
"SURFACE MASS: The summation of all mass within ~20 km of the Earth’s surface (i.e. groundwater, soil moisture, surface water, snow, atmosphere) expressed on the surface of the Earth.",positive
"SUBDUCTION: The process that takes place at convergent boundaries by which one tectonic plate moves under another tectonic plate, sinking into the Earth's mantle, as the plates converge. A subduction zone is an area on Earth where two tectonic plates move towards one another and subduction occurs.",negative
"LAND MANAGEMENT: Following certain land practices to sustain areas for recreation, wildlife habitat, livestock grazing, wilderness, etc.",negative
"SEDIMENT TRANSPORT: The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting.",positive
"PARTICULATE MATTER: Particulate matter in ice cores (continental dust, volcanic ash, diatoms, and pollen) can provide information on past climate conditions and climate variability.",positive
"SOLAR FLARES: An abrupt release, from a localized region on the Sun, of large amounts ofenergy in ultraviolet light, x-radiation, and occasionally gamma radiation.Flares usually occur in or near complex sunspot regions and may be related tothe rearrangement of the intense magnetic fields there.",positive
SEVERE WEATHER: An alert to advise the public to when and where potentially life threateningweather phenomena may occur.,negative
"ERUPTION DYNAMICS: Pertaining to the processes involved in the extrusion of magma at the Earth'ssurface, these can include: eruption induced seismic activity, lahars, ashflows/clouds, etc.",negative
"DUNES: A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.",positive
"INDIGENOUS VEGETATION: Indigenous Vegetation or native vegetation is applied to a species thatoccurs naturally in an area, and therefore, one that has not beenintroduced by humans accidentally or intentionally.",positive
"HAPTOPHYTES: Haptophytes are a clade of heterokont algae with smooth flagella. Haptophytes are typically eukaryotic, with a central nucleus and are characterized with a haptonema organelle.",positive
"PARABOLIC DUNE: U-shaped mounds of sand with convex noses trailed by elongated arms are parabolic dunes. Sometimes these dunes are called U-shaped, blowout, or hairpin dunes, and they are well known in coastal deserts. Unlike crescent shaped dunes, their crests point upwind. The elongated arms of parabolic dunes follow rather than lead because they have been fixed by vegetation, while the bulk of the sand in the dune migrates forward.",negative
"ISOTOPES: The isotopic record found in various non-marine records reveal directinformation about the past climate. d18O (delta oxygen-18), 16O and 18O areisotopes of oxygen with slight differences in atomic weight. Studies usingother isotopes such as Carbon-13, Carbon-14 and Hydrogen are widely used.Isoptopic analysis is especially important in dendroclimatologic and speleothemanalyses.",positive
"GLACIERS: A mass of land ice, formed by the further recrystallization of firn, flowingcontinuously from higher to lower elevations.",negative
"SALMONS/TROUTS: Phylum Chordata. Class Actinopterygii. Salmon, a common name for ray-finned fish, are a commercially important anadromous fish. Trout, common name for freshwater fish, have fins without spine and small adipose fin near the tail.",negative
GLACIER MASS BALANCE/ICE SHEET MASS BALANCE: Mass balance describes the net gain or loss of snow and ice through a givenyear. It is usually expressed in terms of water gain or loss.,negative
"SPECTRAL/ENGINEERING: Refers to the study of spectroscopy, remote sensing and imaging, combustion and propulsion technology, and the radiative transfer processes.",negative
GRAVITY WAVE: A wave disturbance in which buoyancy acts as the restoring force onparcels displaced from hydrostatic equilibrium.,positive
"TERRESTRIAL HYDROSPHERE: 'Terrestrial - related to the Earth,  A hydrosphere is the total amount of water on a planet. The hydrosphere includes water that is on the surface of the planet, underground, and in the air. A planet's hydrosphere can be liquid, vapor, or ice.On Earth, liquid water exists on the surface in the form of oceans, lakes and rivers. It also exists below ground—as groundwater, in wells and aquifers. Water vapor is most visible as clouds and fog.The frozen part of Earth's hydrosphere is made of ice: glaciers, ice caps and icebergs. The frozen part of the hydrosphere has its own name, the cryosphere. Water moves through the hydrosphere in a cycle. Water collects in clouds, then falls to Earth in the form of rain or snow. This water collects in rivers, lakes and oceans. Then it evaporates into the atmosphere to start the cycle all over again. This is called the water cycle.'",positive
DROPLET GROWTH: Rate of droplet growth.,negative
WAVE FREQUENCY: The number of waves passing a fixed point in a given period of time.,negative
"HEAVY METALS CONCENTRATION: Heavy Metals are any of the high atomic weight metals such as lead, mercury, cadmium, and zinc.",negative
"CRYOSOLS: Soil formed in either mineral or organic materials having permafrost either within 1 m below the surface or, if the soil is strongly cryoturbated, with 2 m below the surface, and having a mean annual ground temperature below 0 deg C.",negative
"CLOUD MASS FLUX: The transport of mass by vertical motion within clouds. Mass in thiscontext is defined as the mass of dry air plus the mass of water vapor,excluding the mass of any liquid water.",negative
"FIRE ADVISORIES: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, agricultural resources, and/orthe environment arising from wildfires or prescribed burns.",negative
METAMORPHIC ROCK PHYSICAL/OPTICAL PROPERTIES: The study and analysis of the various physical and optical properties of metamorphic rocks.,positive
FJORDS: Formed when a glacier cuts a U-shaped valley by abrasion of the surrounding bedrock. Many such valleys were formed during the recent ice age. Glacial melting is accompanied by rebound of Earth's crust as the ice load and eroded sediment is removed (also called isostasy or glacial rebound).,negative
LIQUID SURFACE PRECIPITATION RATE: null,positive
STATIC PRESSURE: The component of the force measured perpendicular to the flow per unitarea orientated parallel to the direction of fluid flow.,positive
"DISCHARGE AMOUNT: The volume of water flow, including any suspended solids which is transported through a given cross-sectional area.",negative
"PLANETARY/ROSSBY WAVES: A wave on a uniform current in a two-dimensional nondivergent fluid system,",negative
rotating with varying angle speed about the local vertical (beta plane).,negative
"TECTONIC LANDFORMS: 'Tectonic landforms' are structural landforms of regional extent. Theselandforms make up extensive landscapes whose topography is strongly influencedby the structure of underlying rocks that have undergone (or are undergoing)some degree of deformation (and possible associated metamorphism and igneousintrusion). Landscapes developed on orogenic belts, uplifts, domes, basins, andshields can all be thought of as tectonic landforms. 'Tectonic processes' arelarge-scale geologic processes that develop these landforms and includemountain building and crustal rifting.",positive
"HEADLANDS/BAYS/CAPE: Headlands and bays are often found together on the same stretch of coastline. A bay is surrounded by land on three sides, whereas a headland is surrounded by water on three sides. Headlands are characterized by high, breaking waves, rocky shores, intense erosion, and steep sea cliffs.",negative
"WAVE-CUT NOTCH/PLATFORMS: The narrow flat area often found at the base of a sea cliff or along the shoreline of a lake, bay, or sea that was created by the action of waves. Wave-cut platforms are often most obvious at low tide when they become visible as huge areas of flat rock.",negative
GROUND WATER PROCESSES/MEASUREMENTS: Describes how ground water is measured and the various ground water processes throughout the ground water system.,positive
"ISOTOPES: The isotopic record found in various non-marine records reveal direct information about the past climate. d18O (delta oxygen-18), 16O and 18O are isotopes of oxygen with slight differences in atomic weight. Studies using other isotopes such as Carbon-13, Carbon-14 and Hydrogen are widely used. Isotopic analysis is especially important in dendroclimatologic and speleothem analyses.",positive
"SEDIMENTS: Sediment - can be analyzed in many ways. Sediment laminations, or layers, can indicate sedimentation rate through time. Charcoal trapped in sediments can indicate past fire events. Remains of microorganisms such as diatoms, foraminifera, microbiota, and pollen within sediment can indicate changes in past climate, since each species has a limited range of habitable conditions. When these organisms and pollen sink to the bottom of a lake or ocean, they can become buried within the sediment. Thus, climate change can be inferred by species composition within the sediment.",negative
"SEDIMENTS: Unconsolidated particles created by the weathering and erosion of rock, by chemical precipitation from solution in water, or from the secretions of organisms, and transported by water, wind, or glaciers.",positive
"TOMBOLOS: A deposition landform  in which an island is attached to the mainland by a narrow piece of land such as a spit or bar. Once attached, the island is then known as a tied island. Several islands tied together by bars which rise above the water level is called a tombolo cluster.",negative
"NUTRIENTS: Elements essential for growth and survival of a given organism. Directly or indirectly, nutrients have roles in metabolism that no other nutrients fulfills.",positive
"ATMOSPHERIC CONDUCTIVITY: A unit measure of electrical conduction; the facility with which asubstance conducts electricity, as represented by the current density perunit electrical- potential gradient in the direction of flow.",negative
"SOLAR RADIATION STORMS: Caused by solar flares, radiation storms are made up of photons, electrons, andprotons.  Protons take the lead in these storms, posing much more danger tothose not protected by the Earth's magnetic field.  They cause damage bybreaking chemical bonds in genetic material.",negative
"BIOLOGICAL RECORDS: The scientific study of the distribution of living organisms, biological records describe the presence, abundance, associations, and changes, both in time and space, of wildlife.",positive
"DOME DUNE: Oval or circular mounds that generally lack a slipface, dome dunes are rare, and these occur at the far upwind margins of sand seas.",negative
"DUNES: A hill of sand built by aeolian processes. Dunes occur in different forms and sizes, formed by interaction with the wind. Most kinds of dunes are longer on the windward side where the sand is pushed up the dune and have a shorter 'slip face' in the lee of the wind.",positive
ADVECTION: Advection is the transfer of properties of current flow. The transfer ofheat gain/loss from one region to another.,negative
"SEDIMENTS: Unconsolidated particles created by the weathering and erosion of rock,by chemical precipitation from solution in water, or from the secretionsof organisms, and transported by water, wind, or glaciers.",positive
"ELECTRIC FIELD: The region in which electric forces can be observed, e.g. near an",negative
"electric charge. As a field, it may also be viewed as a region of space",negative
modified by the presence of electric charges.,negative
GEOLOGICAL ADVISORIES: Reports providing information on changes in environmental factors including,negative
"warnings of potential threat to life, property, agricultural resources, and/or",negative
"the environment arising from the natural processes that occur within the Earth.These processes include but are not limited to those that create, deform,",negative
"destroy, and/or recycle the lithosphere of the Earth.",negative
ADVECTION: null,negative
"SPITS AND BARS: A deposition landform  found off coasts. At one end, spits connect to land, while at the far end they exist in open water. A spit is a type of bar or beach that develops where a re-entrant occurs, such as at cove's headlands, by the process of longshore drift.",negative
"DATA PROCESSING SERVICES: Services that are designed to process data, sometimes both feature and image (coverage) data. The services in the Processing Services tier are used by clients and by services in the Application Services tier. These services can use other services in the Processing Services and Information Management Services tiers.",negative
DIFFERENTIAL PRESSURE: The difference between static air pressure and the total air pressureproduced by forward motion of an aircraft.,negative
LOESS: An aeolian sediment formed by the accumulation of wind-blown silt and lesser and variable amounts of sand and clay that are loosely cemented by calcium carbonate. It is usually homogeneous and highly porous and is traversed by vertical capillaries that permit the sediment to fracture and form vertical bluffs.,positive
"SEDIMENT THICKNESS: The sediment thickness at any location on the continental margin is the vertical distance from the sea floor to the top of the basement at the base of the sediments, regardless of the slope of the sea floor or the slope of the top basement surface.",positive
"SEA ARCHES: Sea arches form by wave erosion of coastal headlands. Sea arches are very temporary landforms, in both geologic and human terms.",positive
"SOIL INFILTRATION: The entry of water into soil. Also, the infiltration flux is the volume ofwater entering a specified cross-sectional area of soil per unit time [L t-1].",negative
COLLISION RATE: Rate of droplet collisions.,negative
"SEDIMENT THICKNESS: The sediment thickness at any location on the continental margin is the vertical distance from the sea floor to the top of the basement at the base of the sediments, regardless of the slope of the sea floor or the slope of the top basement surface.",positive
"GLACIER ELEVATION/ICE SHEET ELEVATION: Pertaining to the measured height of large thick, glaciers, with an area ofat least 50,000 sq. km, covering a continuous stretch of land and growingin all directions.",negative
HEALTH ADVISORIES: Reports providing information on changes in environmental factors including warnings about epidemiological or environmental hazards that potentially threaten animal or human health.,negative
"LONGITUDINAL/LINEAR DUNE: Elongate parallel to the prevailing wind, possibly caused by a larger dune having its smaller sides blown away. Seif dunes are sharp-crested and are common in the Sahara. They range up to 300 m (980 ft) in height and 300 km (190 mi) in length.",positive
FLUVIAL PROCESSES: The physical interaction of flowing water and the natural channels of rivers and streams. Such processes play an essential and conspicuous role in the denudation of land surfaces and the transport of rock detritus from higher to lower levels.,positive
"GLACIER FACIES: In general, facies are the set of all characteristics of a sedimetary rock thatindicates its particular environment of deposition and which distinguish itfrom other facies in the same rock. Glacial facies refer to the characteristicnature of glacial ice and/or the processes by which the ice formed andprocesses by which  rock debris from the bed is entrained into the ice.",negative
"LIGHTNING: Generally, any and all of the various forms of visibleelectrical discharge produced by thunderstorms.",negative
DUNES: An elongated mound of sand formed by wind or water.,positive
"VULNERABLE POPULATIONS: Groups of people with a propensity or predisposition to be adverselyaffected. Vulnerable populations may be less able to anticipate, copewith, resist, and recover from the impacts of a disaster, be it natural orman-made.",negative
"CUSPATE FORELANDS: Geographical features found on coastlines and created by long shore drift. Made out of sand and shingle, and later stabilized by vegetation, cuspate forelands are triangular-shaped accretions and extend seawards.",positive
"FERNS AND ALLIES: Pteridophytes, commonly called Ferns and fern allies, are vascular plants with fronds, roots and sometimes true stems.",negative
"ANGIOSPERMS (FLOWERING PLANTS): Flowering Plants are all included within the class Angiospermae.Today angiosperms are the dominant plant life, their survival helped bythe angiosperms' flowers (through pollination), fruit (by being carried tonew places), and seeds (which contain food to nourish the young plant).",positive
"AIR MASS/DENSITY: Air mass/density is a fundamental property of atmosphere. Mixture of gases forming Earth's atmosphere, consisting of nitrogen (∼78%), oxygen (∼21%), water vapor, and other trace gases such as carbon dioxide, helium, argon, ozone, or various pollutants.The concentration of water vapor is very variable, being a strong function of temperature and, hence, altitude in the atmosphere. Dry air is referred to as air from which measurable amounts of water vapor have been physically removed. Pure, dry air has a density of 1.293 kg m−3 at a temperature of 273 K and a pressure of 101.325 kPa. Apart from the variability of water vapor, the composition of air is essentially constant to an altitude of at least 50 km.",negative
"SEDIMENT THICKNESS: The sediment thickness at any location on the continental margin is the vertical distance from the sea floor to the top of the basement at the base of the sediments, regardless of the slope of the sea floor or the slope of the top basement surface.",positive
"SEDIMENTS: Naturally occurring material that is broken down by processes of weathering and erosion, and is subsequently transported by the action of wind, water, or ice, and/or by the force of gravity acting on the particles. For example, sand and silt can be carried in suspension in river water and on reaching the sea be deposited by sedimentation and if buried this may eventually become sandstone and siltstone, (sedimentary rocks).",negative
"MICROFOSSILS: Microfossils are fossils too small to be seen without the aid of a microscope, e.g., a foraminifer or ostracode. It may be the remains of microscopic organisms or a part of a larger orgnaism.",positive
"BARRIER ISLANDS: A coastal landform and a type of barrier system, are relatively narrow strips of sand that parallel the mainland coast. They usually occur in chains, consisting of anything from a few islands to more than a dozen.",negative
RADIO BLACKOUTS: Conditions in which long distance radio communications is poor to propagate toseverely blocked.,negative
SOILS: The range of dynamic natural bodies composed of  mineral and organicmaterials and living forms in which plants grow.,positive
"SURFACE TEMPERATURE: In meteorology, the temperature of the ambient air near the surface of the earth, almost invariably determined by a thermometer in an instrument shelter.",positive
"INLETS: A narrow body of water between islands or leading inland from a larger body of water, often leading to an enclosed body of water, such as a sound, bay, lagoon or marsh. In sea coasts an inlet usually refers to the actual connection between a bay and the ocean and is often called an 'entrance' or a recession in the shore of a sea, lake or river.",negative
"MARINE ADVISORIES: Reports providing information on changes in environmental factors includingwarnings of potential threat to life, property, resources, and/or theenvironment arising from hazards in and around navigable water.",negative
ICE NUCLEI: Any particle that serves as a nucleus leading to the formation of ice crystals without regard to the particular physical processes involved in the nucleation.,negative
SOLAR ACTIVITY: Any change in the sun's appearance or behavior. The sun's activity,positive
"is described as being very low, low, moderate, high or very high.",negative
"Solar activity changes over a period of, on average, 11 years. At",positive
"solar maximum, the solar activity is high and so too the Extreme",positive
Ultraviolet (EUV) radiation output which affects the ionosphere. At solar,positive
"minimum, the opposite is true.",positive
"SHORELINES: The fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one. is the fringe of land at the edge of a large body of water, such as an ocean, sea, or lake. In Physical Oceanography a shore is the wider fringe that is geologically modified by the action of the body of water past and present, while the beach is at the edge of the shore, representing the intertidal zone where there is one.",positive
FLUVIAL PROCESSES: The physical interaction of flowing water and the natural channels of rivers and streams. Such processes play an essential and conspicuous role in the denudation of land surfaces and the transport of rock detritus from higher to lower levels.,positive
SOUNDS: A wide inlet of the sea or ocean that is parallel to the coastline; it often separates a coastline from a nearby island.,negative
SOLAR WINDS: The ionized atmosphere above the solar surface that has such a high temperatureit can overcome the Sun's gravity and expand outward at supersonic speeds.,positive
ADVECTION: Refers to the transport of salt within the ocean.,negative
TOTAL FREEZING RAIN ACCUMULATION: Total freezing rain accumulated from a freezing rain event.,negative
"SEA LEVEL ANOMALY: A sea level anomaly reveals the regional extent of anomalous water levels in the coastal ocean which can indicate unusual water temperatures, salinities, average monthly winds, atmospheric pressures, and/or coastal currents. A sea level anomaly, as defined by NOAA's National Ocean Service, occurs when the 5-month running average of the interannual variation is at least 0.1 meters (4 inches) greater than or less than the long-term trend. The interannual variation is the monthly mean sea level after the trend and the average seasonal cycle are removed.",positive
WATER MASSES: A large body of seawater identified by its temperature and salinity.,negative
STRATIGRAPHIC SEQUENCE: A chronological succession of sedimentary rocks.,positive
"SEDIMENT TRANSPORT: The movement of solid particles (sediment), typically due to a combination of the force of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained. An understanding of sediment transport is typically used in natural systems, where the particles are clastic rocks (sand, gravel, boulders, etc.), mud, or clay; the fluid is air, water, or ice; and the force of gravity acts to move the particles due to the sloping surface on which they are resting.",positive
"ELECTRICITY: Associated with the use, production, or transmission of electric power.",negative
"APRON REEF: A short reef resembling a fringing reef, but more sloped; extending out and downward from a point or peninsular shore.",negative
ICEBERGS: A piece of ice that has broken off from the end of a glacier that terminates inwater. Only about 10 percent of its mass is above the surface of the water.,positive
SEA STATE: A measure of the roughness of the sea surface; a scale of surfacewave conditions related to the speed of wind.,positive
WAVE HEIGHT: Vertical distance between a wave crest and the adjacent wave troughs.,positive
STRATIGRAPHIC SEQUENCE: A chronological succession of sedimentary rocks .,positive
STRATIGRAPHIC SEQUENCE: A set of deposited sedimentary beds that reflects the depositional environment of those beds and the geologic history of a region. A stratigraphic sequence is a chronologic succession of sedimentary rocks from older below to younger above without interruption.,negative
