Text,Predicted_Sentiment,Raw_Score
The two global modes with their 11 12 yr and 3 4 3 6 yr periodicities are quite robust suggesting potential contributions of both to predictability at 1 3 yr horizons On the other hand the CESM run has no year to year changes in the prescribed insolation excluding any role of the solar cycle in the model s 11 yr mode The solar cycle is present however in the reanalysis since it is present in nature and hence it does affect the observations We speculate therefore that regional oscillations with their distinct near periodicities and spatial patterns are synchronized over the globe thus yielding both the global oscillatory modes found in CESM In nature the decadal mode could be further synchronized with the solar cycle but that does not seem to be the case given the slight difference in period 12 yr for the reanalysis and 11 yr for the solar cycle which makes them drift in and out of phase,positive,0.9458
The work s tentative conclusion is therefore i yes there are global oscillatory modes in the climate system especially a decadal mode but ii no this mode has little or nothing to do with the solar cycle,negative,0.4313
Manuscript received April 20 2020 accepted April 20 2020 Date of current version May 4 2020 Mehdi Darvishi is with the Institute for Earth Observation Eurac Research 39100 Bolzano Italy and also with the Department of Information Engineering and Computer Science University of Trento 38122 Trento Italy e mail mehdi darvishi unitn it Giovanni Cuozzo is with the Institute for Earth Observation Eurac Research 39100 Bolzano Italy e mail giovanni cuozzo eurac edu Lorenzo Bruzzone is with the Department of Information Engineering and Computer Science University of Trento 38122 Trento Italy e mail lorenzo bruzzone unitn it Faramarz Nilfouroushan is with the Faculty of Engineering and Sustainable Development ATM University of Gävle 801 76 Gävle Sweden and also with the Geodata Division Lantmäteriet 802 64 Gävle Sweden e mail faramarz nilfouroushan hig se Digital Object Identifier 10 1109 JSTARS 2020 2989609 REFERENCE,positive,0.9953
1NOAA Center for Satellite Applications and Research College Park MD 20740 USA 2State Key Laboratory of Remote Sensing Science Institute of Remote Sensing and Digital Earth Chinese Academy of Sciences Beijing 100101 China 3Department of Environmental Health Rollins School of Public Health Emory University Atlanta GA 30322 USA 4Istituto di Fisica Applicata Nello Carrara del Consiglio Nazionale delle Ricerche IFAC CNR Sesto Fiorentino 50019 Firenze Italy 5Universities Space Research Association NASA Goddard Space Flight Center Greenbelt MD 20771 USA,positive,0.9496
1 Department of Soil Environmental and Atmospheric Science University of Missouri 302 E Anheuser Busch Natural Resources Building Columbia MO 65211 USA 2Department of Earth and Atmospheric Sciences Cornell University Bradfield Hall Room 1116 Ithaca NY 14853 USA 3 State Key Laboratory of Severe Weather Chinese Academy of Meteorological Sciences 46 Zhongguancun Southern Street Haidian Beijing 100081 China 4A M Obukhov Institute of Atmospheric Physics Russian Academy of Sciences 3 Pyzhevsky Moscow 119017 Russia,positive,0.7426
The World Multidisciplinary Earth Sciences symposium WMESS 2016 was held in the Prague Duo hotel from 5th to 9th September 2016 After the great success of WMESS 2015 with more than 500 participants from more than 50 countries symposium became popular for scientists of different topics classical and contemporary research related to Geosciences This volume of Journal IOP Conference Series Earth and Environmental Science contains 175 articles collected in four sections The World Multidisciplinary Earth Sciences symposium created a unique opportunity for participants to share research and work experience in the fields of Earth Sciences providing a forum for early career researchers for presentation of their work and discussion of their ideas with experts in different fields such as Tectonics Structural Geology Engineering Geology Geotechnics Hydro Hydrogeological Sciences Natural Hazards Oil Gas Coal Geothermal Energy Geomorphology Geochemistry Mineralogy Petrology Volcanology Stratigraphy Sedimentology Palaeontology Geophysics Seismology Geodesy Photogrammetry Cartography Informatics Geoinformatics Remote Sensing Mining Engineering Mineral Processing Blasting New Technologies Natural Resources Environmental Sciences Energy Resources Pollution the Environment Environmental Legislation Biogeosciences Geological Heritage Geoparks Urban Planning Atmospheric Sciences Climatology Glaciology Modelling and Soft Computing Techniques in Earth Sciences The main mission of the World Multidisciplinary Earth Sciences Symposium WMESS is to lead to contribution in multidisciplinary studies related with atmosphere biosphere hydrosphere lithosphere and pedosphere of the Earth and interaction of humans with them As another mission it provides a forum for this diverse range of studies which report the very latest results and document emerging understanding of the Earth s system and our place in it This year the Scientific Committee and Institutional Scientific Partners of WMESS were filled by paying close attention and all members were selected from well known very much appreciated productive and representative persons from different countries We are deeply grateful to the members of the scientific committee and institutional scientific partners International Association for Engineering Geology the Environment IAEG International Union of Soil Sciences IUSS International Geographical Union IGU The International Association of Hydrogeologists IAH Geological Sciences of Italy SGI Czech Soil Science Society CSSS Arabian Geosciences Union ArabGU The Society of Economic Geology of Romania SEGR World Meteorological Organization WMO International Medical Geology Association IMGA Russian Mineralogical Society RMS University of Petrosani Geological Society of Africa GSAf of WMESS We would also like to thank our main sponsors LAMA Energy group LAMA Gas oil The organizing committee appreciates enormous work of editorial board and reviewers in the preparation of this volume This year volume was edited by Marian Drusa and co editors Isik Yilmaz Marian Marschalko Anna Maria Ferrero Ibolya Torok and Nazan Yalcin Erik We would like to express our sincere thanks to all authors and presenters for their valuable research contributions We wish you to enjoy the World Multidisciplinary Earth Sciences Symposium WMESS 2016 and a pleasant stay in the city of romance Prague We hope to see you again during the next event WMESS 2017 which will be held in Prague Czech Republic during 11 15 September 2017,positive,0.9971
This paper examines children s fiction books on air pollution in terms of the accuracy of their content in the representation of celestial bodies The qualitative content analysis identifies and records in the text of 18 books passages containing errors and inaccuracies about celestial bodies The passages are organized and presented in a category system while also being linked to the possible alternative ideas they may generate in children The results show that the Earth the planets the Sun and the stars are only sometimes represented based on scientific standards Finally the common errors and inaccuracies are presented At the same time suggestions are made for using these books in teaching and learning in science and environmental education in order to avoid misconceptions from their students,negative,0.1075
Satellite data are a relevant part of information required for sustainable environmental management assessment of the impact of economic activity of ecosystems determination of risks related to global climate changes desertifi cation processes loss of landscape and biotic diversity Aim To substantiate the reasonability and prove the effi ciency of using satellite data in the agroecologic monitoring system regarding the impact of climate changes on vegetation processes of soil erosion degradation and assessment of landscape diversity Methods The study was conducted in the territory of Ukraine It involved the application of SWOT and Gap analysis methodology materials of NOAA satellite observa tions Sentinel different spatial resolution methodological and regulatory provision of the Institute of Agroecology and Environmental Economics of the National Academy of Agrarian Sciences regarding satellite monitoring of the structure of agrolandscapes norms of establishing a network of testing,positive,0.9958
agrarian grounds list of vegetation state indicators in par ticular Remote sensing of the Earth from space Land data about controlling the condition of plantings and performance of agricultural crops General requirements DSTU 7307 2013 Remote sensing of the Earth from space Ground in spection of plantings Classifi er of objects and functions SUC 01 1 37 907 2011 Methodological recommendations on establishing the network of testing agrarian grounds in the system of monitoring of plantings using the materials of cosmic information The investigation on the impact of climate changes on vegetation state was conducted on the territory of three natural climatic zones which were geographically represented by Chernihiv Poltava and Zaporizhzhia regions re spectively The determination of the threat of erosion degradation of arable lands and landscape diversity was performed on the territory of two administrative districts with high level of ploughness of agrolandscapes intense agrarian produc,negative,0.2157
tion and manifestation of erosion degradation of lands Results Inadequacy of the traditional system of agroecological monitoring was determined It was proven that it was reasonable to have comprehensive application of satellite data regarding climate warming within the natural climatic zones and its impact on vegetation according to the normalized dif ference vegetation index NDVI erosion degradation of soils and landscape diversity According to satellite data of the National Oceanic and Atmospheric Administration NOAA the correlation analysis was performed on the connection between the dynamics of the sum of effective temperatures and the sum of NDVI values for the vegetation period There was positive impact of climate warming on vegetation state according to NDVI index in the zone of Polissia and Forest Steppe The correlation coeffi cients were R 0 64 and R 0 77 respectively In the Steppe zone the correlation coeffi cient dropped down to R 0 35 which demonstrated the elevated risk of,negative,0.0022
droughts Conclusions Satellite data of Sentinel 1 were used to determine critical zones of erosion degradation of arable lands requiring preservation and their inclusion to the natural fi elds which had a positive impact on the optimization of agrolandscape diversity,positive,0.8344
Zoboi Ibi My Life as an Ice Cream Sandwich Penguin Random House 2019,negative,0.383
My Life as an Ice Cream Sandwich is Ibi Zoboi s middle grade debut following her YA novels Pride and the National Book Award finalist American Street Some of Zoboi s concerns in her YA fiction are revisited here Black community and communities complexities of family relationships and the difficulties and joys of discovering new places Here Zoboi adds to the mix a quirky sci fi loving protagonist and a historical setting Harlem in the summer of 1984,positive,0.9982
Ebony Grace Norfleet Freeman aka E Grace Starfleet in her galactic imagination location aka Ice Cream Sandwich to the Nine Flavas crew of MCs and B girls is a seventh grader from Huntsville who is sent to live with her father in New York City for the summer She s full of science fiction knowledge and enthusiasm abetted by her Granddaddy who worked for NASA and occupies a large role in her internal narrative as Captain Fleet,positive,0.9919
Ebony Grace is a somewhat frustrating protagonist making a number of seeming unforced errors due to her commitment to her spacefaring alter ego but she is authentic and compelling too Her insistence on being E Grace Starfleet can be endearing though she s clearly using her imagination to avoid dealing with or understanding what s happening around her She describes her surroundings in terms of her space adventure that Captain Fleet has been taken captive by the Sonic King on Planet Boom Box and that the Sonic Boom threatens to overtake everything Her new friends initially have little time for this kind of play they re busy developing their crew s double dutch rapping and breakdancing skills in preparation for a competition that might get them into the big leagues The culture shock contrast in other words isn t just between Huntsville and Harlem but also between one kind of play and although the Nine Flavas crew don t see it like this another between childhood and adolescence,positive,0.9914
A caution for readers who appreciate concreteness one subplot seems ambiguous to the point of opacity Ebony Grace has been sent to New York because of some trouble her Granddaddy has gotten into or possibly a health crisis he is having There are allusions from adult characters to sins Ebony Grace s grandfather has committed consequences for bad decisions lawyers and journalists His death near the end of the novel leaves both Ebony Grace and the reader with questions but little closure veiled references imply a sex and drugs aspect to his troubles or a connection to the AIDS crisis but this is never clarified The narrative here is more atmospheric than propulsive but that atmosphere is alive with culture and history Character voices are lively funny and down to earth their moment is depicted lovingly and specifically but without preciousness or nostalgia This love letter to 1980s New York has mountains of appeal for any reader interested in science fiction or hip hop culture and is a must for any collection looking to continue prioritizing diversity and representation in its holdings,positive,0.9722
Highly recommended 4 out of 4 starsReviewer Amanda Daignault,positive,0.6838
Amanda Daignault is a PhD Candidate in the Department of English and Film Studies at the University of Alberta She studies contemporary children s middle grade fantasy novels using methods of book history and bibliography to figure out where all those giant trilogies came from and what they re doing,positive,0.8845
In northern China the transition zone affected by summer monsoon and its neighboring areas frequently experience drought events Especially since the 21st century the number of major drought events in this region has significantly increased making it a notable drought prone area known as the northern drought prone belt NDPB Till now major drought events in this area have profoundly impacted China s historical progress and socioeconomic development In fact similar drought prone belts are common in other monsoon transition zones globally making it highly relevant and scientifically valuable to study the major drought issues in this region Therefore we discuss the major drought issues in the NDPB for the first time comprehensively analyze the basic characteristics of the NDPB systematically review the main stages of drought research in northern China and identify scientific challenges currently faced in major drought research in the NDPB Based on this and in line with the current forefront of earth system science research we outline five research directions and their basic approaches including scientific experimental research focusing on major droughts in the NDPB the impact of multifactor atmospheric circulation interactions on major drought formation mechanisms promoting major drought development through the land atmosphere coupling the synergistic mechanisms of the atmospheric circulation and land atmosphere coupling on major droughts and fine monitoring technology and prediction methods for the full chain progression of major droughts that have multifactor collaborative impacts This research work holds significant scientific reference value for promoting innovative breakthroughs in the theory of major drought formation and monitoring and prediction techniques in northern China,positive,0.9815
